method,baseline_size,final_size,size_reduction,baseline_score,final_score,security_preservation,num_applied,program,selector,applied_passes,rejected_passes,num_rejected,num_passes_applied,num_steps_taken
O0,201,201,0.0,14.0,14.0,100.0,0.0,benchmark_000,,,,,,
O2,201,161,19.900497512437813,14.0,3.0,21.428571428571427,0.0,benchmark_000,,,,,,
O3,201,264,-31.343283582089555,14.0,3.0,21.428571428571427,0.0,benchmark_000,,,,,,
greedy,201,201,0.0,14.0,14.0,100.0,0.0,benchmark_000,greedy,[],[],0.0,,
random,201,201,0.0,14.0,14.0,100.0,0.0,benchmark_000,random,[],"[{'pass': 'jump-threading', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'instcombine', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'sroa', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'indvars', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'simplifycfg', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'aggressive-instcombine', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'dce', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'inline', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'reassociate', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-deletion', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'tailcallelim', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'adce', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-unroll', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-rotate', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'early-cse', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'correlated-propagation', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'licm', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'sccp', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'gvn', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'mem2reg', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}]",20.0,,
rl,201,390,-94.02985074626866,14.0,14.0,100.0,,benchmark_000,,"['sroa', 'loop-unroll', 'sroa', 'sroa', 'sroa', 'sroa', 'sroa', 'sroa', 'sroa', 'sroa']",,,10.0,10.0
O0,38,38,0.0,4.0,4.0,100.0,0.0,benchmark_001,,,,,,
O2,38,20,47.368421052631575,4.0,4.0,100.0,0.0,benchmark_001,,,,,,
O3,38,20,47.368421052631575,4.0,4.0,100.0,0.0,benchmark_001,,,,,,
greedy,38,38,0.0,4.0,4.0,100.0,0.0,benchmark_001,greedy,[],[],0.0,,
random,38,38,0.0,4.0,4.0,100.0,0.0,benchmark_001,random,[],"[{'pass': 'sroa', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'sccp', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'simplifycfg', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'instcombine', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-rotate', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'correlated-propagation', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'jump-threading', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'gvn', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'early-cse', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'reassociate', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'tailcallelim', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'adce', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'indvars', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-deletion', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'dce', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-unroll', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'aggressive-instcombine', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'mem2reg', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'licm', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'inline', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}]",20.0,,
rl,38,18,52.63157894736842,4.0,4.0,100.0,,benchmark_001,,"['sroa', 'gvn', 'early-cse', 'early-cse', 'early-cse', 'early-cse', 'early-cse', 'early-cse', 'early-cse', 'early-cse']",,,10.0,10.0
O0,110,110,0.0,15.0,15.0,100.0,0.0,benchmark_002,,,,,,
O2,110,78,29.09090909090909,15.0,10.0,66.66666666666666,0.0,benchmark_002,,,,,,
O3,110,78,29.09090909090909,15.0,10.0,66.66666666666666,0.0,benchmark_002,,,,,,
greedy,110,110,0.0,15.0,15.0,100.0,0.0,benchmark_002,greedy,[],[],0.0,,
random,110,110,0.0,15.0,15.0,100.0,0.0,benchmark_002,random,[],"[{'pass': 'loop-rotate', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'inline', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'licm', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-deletion', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'gvn', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'dce', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'aggressive-instcombine', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-unroll', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'correlated-propagation', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'reassociate', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'sccp', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'sroa', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'simplifycfg', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'mem2reg', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'tailcallelim', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'instcombine', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'indvars', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'adce', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'jump-threading', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'early-cse', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}]",20.0,,
rl,110,182,-65.45454545454545,15.0,15.0,100.0,,benchmark_002,,"['sroa', 'loop-unroll', 'aggressive-instcombine', 'sroa', 'sroa', 'sroa', 'sroa', 'sroa', 'sroa', 'sroa']",,,10.0,10.0
O0,201,201,0.0,14.0,14.0,100.0,0.0,benchmark_003,,,,,,
O2,201,178,11.442786069651742,14.0,3.0,21.428571428571427,0.0,benchmark_003,,,,,,
O3,201,178,11.442786069651742,14.0,3.0,21.428571428571427,0.0,benchmark_003,,,,,,
greedy,201,201,0.0,14.0,14.0,100.0,0.0,benchmark_003,greedy,[],[],0.0,,
